id,text,__label__swe_Latn,link,text_lang,video_lang
fyWlZ-RaUfc,Här tränar Paolo Roberto reporten – skadas TV-profilen tränar nöjesreporter Ellinor Svensson,0.9064382314682008,https://youtube.com/watch?v=fyWlZ-RaUfc,1.0,1.0
YvGIP-79230,SWE Cup 1 2014 - A-final Pojkar 15-16 Vinnare: Oskar Åberg Älvsjö,0.90201735496521,https://youtube.com/watch?v=YvGIP-79230,1.0,1.0
DTCYS-RR7V0,cars,0.9061655402183532,https://youtube.com/watch?v=DTCYS-RR7V0,0.0,0.0
TaVFx-Lfffg,watch till end,0.9089503884315492,https://youtube.com/watch?v=TaVFx-Lfffg,0.0,0.0
pzJiz-dH8PA,Traffick Rider  hacked,0.9006781578063965,https://youtube.com/watch?v=pzJiz-dH8PA,0.0,
oduEV-ISONA,1vs1,0.9040038585662842,https://youtube.com/watch?v=oduEV-ISONA,0.0,
dwhAW-FJuvA,Имя,0.9007923007011414,https://youtube.com/watch?v=dwhAW-FJuvA,0.0,0.0
YqyZB-18Yno,Beyblade burst rivals/ Xavier vs Phi / Braker Xacalias vs dread hades,0.8046069145202637,https://youtube.com/watch?v=YqyZB-18Yno,0.0,0.0
gaOtT-fHHaI,Omg!!!!!!!,0.7902514338493347,https://youtube.com/watch?v=gaOtT-fHHaI,0.0,0.0
ipWvD-nPvkU,#missourifoxtrotter,0.7918304800987244,https://youtube.com/watch?v=ipWvD-nPvkU,0.0,
mMMRy-QGzHg,har har mahadev #ramadan,0.790014386177063,https://youtube.com/watch?v=mMMRy-QGzHg,0.0,
SjJQS-S_9tc,о я,0.8025110363960266,https://youtube.com/watch?v=SjJQS-S_9tc,0.0,
fPcFC-C8VIg,Shivaraja bl,0.8090023994445801,https://youtube.com/watch?v=fPcFC-C8VIg,0.0,0.0
MPUHI-YP3n4,#Mahadev har har mahadev #shivji,0.8080870509147644,https://youtube.com/watch?v=MPUHI-YP3n4,0.0,0.0
TlRtY-WRVB8,splöts prlrllllsshhh splöts prlrllllsshhh,0.799999475479126,https://youtube.com/watch?v=TlRtY-WRVB8,0.0,0.0
URauc-Wojjg,Brandon vs rodolfo 1,0.792308509349823,https://youtube.com/watch?v=URauc-Wojjg,0.0,0.0
dNwDW-W2Kwg,#AS creation#har har sambhu#har har sambhu,0.7979722023010254,https://youtube.com/watch?v=dNwDW-W2Kwg,0.0,0.0
HFkIk-B5dEo,"Nuevo Vallarta, Nayarit",0.6922943592071533,https://youtube.com/watch?v=HFkIk-B5dEo,0.0,0.0
ylYZK-l1GgM,Petit,0.6948865652084351,https://youtube.com/watch?v=ylYZK-l1GgM,0.0,0.0
UHDPS-Fhn1Y,PArkor skills #2,0.698853075504303,https://youtube.com/watch?v=UHDPS-Fhn1Y,0.0,0.0
jmERB-TPJ-M,Draft,0.7025330066680908,https://youtube.com/watch?v=jmERB-TPJ-M,0.0,
mVymD-kv1YY,20 июля 2022 г.,0.6956002116203308,https://youtube.com/watch?v=mVymD-kv1YY,0.0,0.0
azOLj-B0-hU,Navratri,0.7012346982955933,https://youtube.com/watch?v=azOLj-B0-hU,0.0,0.0
bshix-odZ7M,Ravens vs. Browns,0.6934089660644531,https://youtube.com/watch?v=bshix-odZ7M,0.0,0.0
ejNgU-iVvog,27-06-2021 Orion Park Avsallar,0.7016072869300842,https://youtube.com/watch?v=ejNgU-iVvog,0.0,0.0
jbhEa-GgF6A,till eleni96 av Sg77 msp-video svenska msp (moviestarplanet.se),0.7035637497901917,https://youtube.com/watch?v=jbhEa-GgF6A,0.0,1.0
jIAWS-Gz8xc,9 июля 2020 г.(1),0.6941052079200745,https://youtube.com/watch?v=jIAWS-Gz8xc,0.0,0.0
WIVgq-a1rY8,ka kandung,0.6032271981239319,https://youtube.com/watch?v=WIVgq-a1rY8,0.0,0.0
khPGF-OPIso,#douglas,0.6049133539199829,https://youtube.com/watch?v=khPGF-OPIso,0.0,0.0
ssKkc-bIr-Q,Mood off #sad #alone #broken #sadstatus,0.608871579170227,https://youtube.com/watch?v=ssKkc-bIr-Q,0.0,0.0
PZjCv-bKBHU,Dragon Ball Ultimate Rebirth - Paprikan dödade mig #2,0.6015880703926086,https://youtube.com/watch?v=PZjCv-bKBHU,0.5,1.0
XsCRf-Tpwa0,Cargo Lift 2,0.5993306636810303,https://youtube.com/watch?v=XsCRf-Tpwa0,0.0,0.0
wBWDR-E8LG0,teh Ichi ocha seger banget gayyyys!!!!!!,0.5954509377479553,https://youtube.com/watch?v=wBWDR-E8LG0,0.0,0.0
KzfFU-IGVcQ,StepsApp Pedometer,0.5938010811805725,https://youtube.com/watch?v=KzfFU-IGVcQ,0.0,0.0
vkFfr-7BN9k,Omg...!!!,0.6059073209762573,https://youtube.com/watch?v=vkFfr-7BN9k,0.0,
dvZCZ-OLrjo,Gift,0.6061432957649231,https://youtube.com/watch?v=dvZCZ-OLrjo,0.0,0.0
hKRwT-kFrcU,Utta bomma,0.6047707200050354,https://youtube.com/watch?v=hKRwT-kFrcU,0.0,0.0
KDNvQ-4wxL8,Terraria,0.4942319095134735,https://youtube.com/watch?v=KDNvQ-4wxL8,0.0,0.0
XmgCd-hcI4U,Toyota fortuner vs  Mahindra Thar  #youtubeshorts #fortunervsthar #thar #fortuner,0.4970728158950805,https://youtube.com/watch?v=XmgCd-hcI4U,0.0,0.0
yQwHb-ybZrI,First vid kitty plays,0.4969865381717682,https://youtube.com/watch?v=yQwHb-ybZrI,0.0,0.0
AUHVD-bCe3M,gta5 sad life (skit),0.4995540380477905,https://youtube.com/watch?v=AUHVD-bCe3M,0.0,0.0
IHKAY-FgEis,1 июня 2022 г.,0.499590516090393,https://youtube.com/watch?v=IHKAY-FgEis,0.0,0.0
rOqSA-2QM3Q,23 avril 2022,0.495431125164032,https://youtube.com/watch?v=rOqSA-2QM3Q,0.0,0.0
khvcT-7utWk,TDM the Legioner vs Muminov1vs4,0.4979341626167297,https://youtube.com/watch?v=khvcT-7utWk,0.0,0.0
zoouw-XsMx0,seringue mbaye sy abdou,0.505145788192749,https://youtube.com/watch?v=zoouw-XsMx0,0.0,0.0
wkthq-6WtGg,jhulian06 vs boyfriend cap 1,0.4994193911552429,https://youtube.com/watch?v=wkthq-6WtGg,0.0,
bzLNa-S5wrQ,23 avril 2022,0.495431125164032,https://youtube.com/watch?v=bzLNa-S5wrQ,0.0,0.0
nDyAv-ltM5w,6 июля 2016 г.,0.3908474147319793,https://youtube.com/watch?v=nDyAv-ltM5w,0.0,0.0
YxerA-Km_KE,manju mohan,0.407250165939331,https://youtube.com/watch?v=YxerA-Km_KE,0.0,0.0
yxzvF-tyqB0,24 июня 2023 г.,0.3996067345142364,https://youtube.com/watch?v=yxzvF-tyqB0,0.0,0.0
uhbQv-80CUQ,Стая,0.3932371735572815,https://youtube.com/watch?v=uhbQv-80CUQ,0.0,
eAJdG-cmofk,haridwar vd,0.3935312032699585,https://youtube.com/watch?v=eAJdG-cmofk,0.0,0.0
ZmKLR-PcmeY,tonto,0.393394261598587,https://youtube.com/watch?v=ZmKLR-PcmeY,0.0,0.0
OdyaY-j0Tac,8 июля 2023 г.,0.391583651304245,https://youtube.com/watch?v=OdyaY-j0Tac,0.0,0.0
CtUBp-WvZjM,8 июля 2023 г.,0.391583651304245,https://youtube.com/watch?v=CtUBp-WvZjM,0.0,
VlKdy-Apiz0,Dj shankar,0.3946774899959564,https://youtube.com/watch?v=VlKdy-Apiz0,0.0,0.0
aHuoR-CIx0M,8 июля 2023 г.,0.391583651304245,https://youtube.com/watch?v=aHuoR-CIx0M,0.0,
uIpPe-ggw5o,5 июля 2023 г.,0.2956370413303375,https://youtube.com/watch?v=uIpPe-ggw5o,0.0,
RQdTw-8kYuI,28. ledna 2023,0.2984262704849243,https://youtube.com/watch?v=RQdTw-8kYuI,0.0,
RhhBK-eEJI0,#antophill bhangar bechne ka lene ka naya style,0.2980639338493347,https://youtube.com/watch?v=RhhBK-eEJI0,0.0,0.0
wjSSw-EzObU,15. april 2023,0.3048756718635559,https://youtube.com/watch?v=wjSSw-EzObU,0.0,0.0
ftJvo-cLH_Y,5 июля 2023 г.,0.2956370413303375,https://youtube.com/watch?v=ftJvo-cLH_Y,0.0,0.0
wYgFt-3GuLA,Sadun Parera #sadunparera live show#sadunparera,0.2953910827636719,https://youtube.com/watch?v=wYgFt-3GuLA,0.0,0.0
toStj-QidLg,10 июля 2020 г.,0.305620014667511,https://youtube.com/watch?v=toStj-QidLg,0.0,0.0
nohsg-Lk4lo,7 июня 2023 г.,0.2986876666545868,https://youtube.com/watch?v=nohsg-Lk4lo,0.0,
DOICv-jQ7Rg,Experimento Mandrake,0.2912640869617462,https://youtube.com/watch?v=DOICv-jQ7Rg,0.0,0.0
XmSgF-erNA0,#jungkookedits #euphoria #jungkookeuphoria #fmv #shorts,0.2944598495960235,https://youtube.com/watch?v=XmSgF-erNA0,0.0,
xRQWc-ii2nE,Hens,0.1987984329462051,https://youtube.com/watch?v=xRQWc-ii2nE,0.0,0.0
CyBnE-gpk-Y,"S3 SCI , 3B-13.3-V1 , [2/8] S3 SCI , 3B-13.3-V1 , [2/8]",0.1961237341165542,https://youtube.com/watch?v=CyBnE-gpk-Y,0.0,0.0
pRJFJ-hu3gs,24 Februari 2024,0.1994412541389465,https://youtube.com/watch?v=pRJFJ-hu3gs,0.0,
ZrznB-AxCHo,11 июня 2023 г.,0.1901681870222091,https://youtube.com/watch?v=ZrznB-AxCHo,0.0,0.0
cHoSA-DbnsM,Mahindra  555 DI Power Plus 57 HP. Mahindra Arjun. Mahindra Arjun Novo.,0.1986875385046005,https://youtube.com/watch?v=cHoSA-DbnsM,0.0,0.0
hTrac-Vh9nA,Liga Main COD |DMB vs Ravens Goravs Chileno  Brawl Stars en Español  LosBlocDeNotas   Twitter:,0.1967047154903412,https://youtube.com/watch?v=hTrac-Vh9nA,0.0,0.0
hHlEz-Ybnws,2019大英盃 彰師英語vs.實踐應外2,0.2045131474733352,https://youtube.com/watch?v=hHlEz-Ybnws,0.0,0.0
XLRWu-FTJMc,12 июня 2023 г.,0.2011201530694961,https://youtube.com/watch?v=XLRWu-FTJMc,0.0,
JoDXD-TZVKw,trinatha mela,0.2008498013019561,https://youtube.com/watch?v=JoDXD-TZVKw,0.0,0.0
fyVVs-bRFdc,Toriel undertale#2,0.1916031092405319,https://youtube.com/watch?v=fyVVs-bRFdc,0.0,0.0
GJHJv-L0pTM,Alka Yagnik Song  | shorts |lovestatus | Sada Bahar | rishikareels |#rishika1176 Alka Yagnik Song  | shorts |lovestatus | Sada Bahar | rishikareels |#rishika1176,0.1034774705767631,https://youtube.com/watch?v=GJHJv-L0pTM,0.0,0.0
ewtVp-IpVa0,Botafogo (clip),0.0987734794616699,https://youtube.com/watch?v=ewtVp-IpVa0,0.0,0.0
nFhPe-23_TQ,Phil Collins - 12,0.0989723652601242,https://youtube.com/watch?v=nFhPe-23_TQ,0.0,0.0
fnvif-TmNMg,Kids motivation philosophy tips# S.Yuvanya Kids motivation Kids philosophy Motivation tips,0.1095651909708976,https://youtube.com/watch?v=fnvif-TmNMg,0.0,0.0
YbeCy-y4p5E,"99-5, 2 Juggs",0.1084385961294174,https://youtube.com/watch?v=YbeCy-y4p5E,0.0,0.0
fkONR-o6g0k,har Ghar mein Aisa ek Insan hota hai? see this video,0.0942681580781936,https://youtube.com/watch?v=fkONR-o6g0k,0.0,0.0
YWOnz-niCsE,meri lagi shyam sang prit#shortvideo#chitralekhaji#ladoogopalshorts#,0.091550625860691,https://youtube.com/watch?v=YWOnz-niCsE,0.0,0.0
wfHim-rSlGc,30 Januari 2021,0.1003782004117965,https://youtube.com/watch?v=wfHim-rSlGc,0.0,0.0
YURAi-7I3A4,"std-6,maths,ch-1સંખ્યા પરિચય ,part-7,maths, Ravi patel",0.0937100648880004,https://youtube.com/watch?v=YURAi-7I3A4,0.0,0.0
gQRZN-FGO0w,Fatima’s gymnastics flips,0.1096386983990669,https://youtube.com/watch?v=gQRZN-FGO0w,0.0,0.0
nidIC-ySEkE,Week 2 Grasshoppers 2,0.0431688949465751,https://youtube.com/watch?v=nidIC-ySEkE,0.0,0.0
oBjOZ-eo0kY,shami kabab ki recipe|AJ buht enjoy kiya|sonia gopal #soniagopalvlogs #shamikabab #recipe #vlogs #foods #gopalsonia,0.0443713031709194,https://youtube.com/watch?v=oBjOZ-eo0kY,0.0,0.0
EweYQ-wGh6U,bhagna Sankhya class 7 introduction part-1 fractional  number  clear in fractional number bhagnansa   prakruta bhagnansa apakruta bhagnansa Mishra bhagnansa,0.0427247658371925,https://youtube.com/watch?v=EweYQ-wGh6U,0.0,
OZDbX-J4gLE,Garota  De Ipanema,0.0588147938251495,https://youtube.com/watch?v=OZDbX-J4gLE,0.0,0.0
OeiuC-pFiCc,kabzaa #kabzaa #sudeepsir #shivrajkumar #uppendra,0.04152637347579,https://youtube.com/watch?v=OeiuC-pFiCc,0.0,0.0
uNeRX-r1AUI,Despacito ft Dog version || Luis Fonsi,0.041122268885374,https://youtube.com/watch?v=uNeRX-r1AUI,0.0,0.0
gtAyB-_Gawk,Watch till the end,0.0416792631149292,https://youtube.com/watch?v=gtAyB-_Gawk,0.0,0.0
DXXpN-cqLJw,nuvumallitega....,0.049900509417057,https://youtube.com/watch?v=DXXpN-cqLJw,0.0,
oOCBv-EupIE,ВНЕДОРОЖНЫЕ ПРИКЛЮЧЕНИЯ #41 ТАЙМЫР ● SNOWRUNNER  ОТПРАВИТЬ ДОНАТ НА DonationAlerts    ОТПРАВИТЬ ДОНАТ НА  Donatepay    ДОНАТ на Boosty,0.0456391386687755,https://youtube.com/watch?v=oOCBv-EupIE,0.0,
EfqNh-vRAAw,Krishna hare Krishna #viralvideo #shortsviral #youtubeshorts,0.047821220010519,https://youtube.com/watch?v=EfqNh-vRAAw,0.0,0.0
UTfyo-S-mNM,29-Mar-20,0.0057950834743678,https://youtube.com/watch?v=UTfyo-S-mNM,0.0,0.0
vYmhy-KfURA,10-oct.-22,0.0003867716877721,https://youtube.com/watch?v=vYmhy-KfURA,0.0,0.0
gfFDu-pB_DA,#keseruan#acara bakar2an #gathering RT 007 @ kekompakan warga RT 007@,0.0006430123466998,https://youtube.com/watch?v=gfFDu-pB_DA,0.0,0.0
fZhrQ-BvZPU,"ORAÇÃO PARA TER UMA SEMANA ABENÇOADA E FELIZ COM O ESPÍRITO SANTO DE DEUS. Meu propósito no minutos de reflexão é trazer uma palavra rápida e momentos de oração para edificação de vidas, fortalecimento espiritual e emocional. Desejo que junto com esta pequena reflexão chegue na sua vida e na sua casa também a bênção de Deus.   Inscreva-se e ative o sininho de notificações para receber nosso conteúdo e para ajudar o crescimento do canal.   Acompanhe também as outras reflexões.   Curta e compartilhe com seus amigos.   Facebook    Instagram    Minutos de Reflexão 01 de agosto de 2022   Oração no monte, oração da manhã, reflexão da manhã, reflexão do dia, reflexão bíblica, reflexão Salmos, reflexão de hoje, pastor Fernando Arrabal, tem que ir na igreja, reflexão forte, reflexão poderosa, ensinamentos de Jesus, versículo da Bíblia, reflexão da Bíblia, mensagem poderosa, pregação, pregação da palavra, manhã com Deus, últimos tempos, profecia bíblica, profecia para 2022, Poder de Deus, minuto com Deus, minuto com deus animações, minuto com deus oficial, minuto com deus hoje, livro minuto com deus, áudio minuto com deus, amo a palavra de Deus, só palavra de Deus, cd minuto com deus, devocional, palavra de Deus, minuto com deus vídeos, palavra de deus hoje, canal cristão, tempo de Milagres, palavra de Vitória, oração da manhã, oração do dia, oração salmo 91, oração da manhã de hoje,, oração do dia, oração forte, campanha de daniel, salmo 91, oração do salmo 91, oração do pastor, bispo,  salmo 91, bispo salmo 91, oracao, oracao hoje, oração poderosa do salmo 91, Deus te abençoe. #Inscreva_se #Ativeosino #Deusteabençoe",1.0027822099800687e-05,https://youtube.com/watch?v=fZhrQ-BvZPU,0.0,0.0
ESinZ-36Y_8,kasmanda ka Jalsa,0.0048187058418989,https://youtube.com/watch?v=ESinZ-36Y_8,0.0,0.0
kHjaE-C09Rk,"Lecture 108 Thermal Properties of  MATTER  3 ,PHYSICS , NEET , JEE MAINS & ADVANCE (IIT)",2.3373804651782848e-05,https://youtube.com/watch?v=kHjaE-C09Rk,0.0,0.0
OxVqC-Qy4Pk,Staged Marketing Ninja Traffic Tricks Part 1 By Haydn Stevenson Dec 8 2014  Take Your Staged Marketing To The Next Level With Staged Marketing Tips ..,0.000192174265976,https://youtube.com/watch?v=OxVqC-Qy4Pk,0.0,0.0
DMKDl-vSm6U,one v one,1.000000338535756e-05,https://youtube.com/watch?v=DMKDl-vSm6U,0.0,0.0
YaWgV-AVrm8,Frenkie Hybrid SBC / PACYBITS FUT 20,0.0001310494699282,https://youtube.com/watch?v=YaWgV-AVrm8,0.0,0.0
scDrC-iM7TE,Bocil AJAIB Created by InShot:,2.139395110134501e-05,https://youtube.com/watch?v=scDrC-iM7TE,0.0,0.0
